title,slug,videoUrl,description,brand,categories,specifications,shippingAndReturns,rating,isBestSeller,isNewArrival,isFeatured,isOnDeal,variant_name,variant_sku,variant_price,variant_salePrice,variant_stock,variant_inStock,variant_images,variant_weight,variant_height,variant_width,variant_depth,attribute1_name,attribute1_value,attribute2_name,attribute2_value,attribute3_name,attribute3_value
,,,,,,,,,,,,,Free Size / Purple,PV_MZ1701200207ALHAGS_standard_purple,1309.0,,98,TRUE,"https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1701-223-619095-product-3.jpg,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1701-223-619095-product-2.jpg,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1701-223-619095-product-1.jpg,https://content.public.markaz.app/markazimagevideo/public/products/1701-223-619095-product-1.jpg,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1701-223-619095-product-1-withcode.jpg,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1701-223-619095-product-4.jpg,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1701-223-619095-product-5.jpg",,,,,Size,Free Size,Color,Purple,,
,,,,,,,,,,,,,Standard / Black,PV_MZ594200006OEKI_standard_black,1145.0,,100,TRUE,https://content.public.markaz.app/markazimagevideo/public/products/594-223-431538-product-1.jpg,,,,,Color,Black,Size,Standard,,
Nebulizer,nebulizer,,Number Of Pieces: 4 Pcs,,Health Accessories,Material: ABS Plastic | | Number Of Pieces: 4 Pcs |,,5.0,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Standard Size / White,PV_MZ1701201207ALHAGS_standard-size_white,1609.0,,100,TRUE,"https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1701-223-686350-product-6.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1701-223-686350-product-2.webp,https://content.public.markaz.app/markazimagevideo/public/products/1701-223-686350-product-2.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1701-223-686350-product-4.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1701-223-686350-product-5.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1701-223-686350-product-3.webp",,,,,Size,Standard Size,Color,White,,
,,,,,,,,,,,,,Standard / Blue,PV_MZ1899200152AAOETR_standard_blue,2409.0,,100,TRUE,"https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1899-223-682517-product-5.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1899-223-682517-product-6.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1899-223-682517-product-8.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1899-223-682517-product-1.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1899-223-682517-product-9.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1899-223-682517-product-2.webp,https://content.public.markaz.app/markazimagevideo/public/products/1899-223-682517-product-1.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1899-223-682517-product-3.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1899-223-682517-product-7.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1899-223-682517-product-4.webp",,,,,Color,Blue,Size,Standard,,
,,,,,,,,,,,,,Standard Size / White,PV_MZ1701201052ALHAGS_standard-size_white,2460.0,,100,TRUE,"https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1701-223-681734-product-5.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1701-223-681734-product-4.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1701-223-681734-product-2.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1701-223-681734-product-6.webp,https://content.public.markaz.app/markazimagevideo/public/products/1701-223-681734-product-2.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1701-223-681734-product-3.webp",,,,,Size,Standard Size,Color,White,,
,,,,,,,,,,,,,Standard Size / White,PV_MZ94300001240PMGTIM_standard-size_white,2060.0,,100,TRUE,"https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-682265-product-6.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-682265-product-3.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-682265-product-4.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-682265-product-5.webp,https://content.public.markaz.app/markazimagevideo/public/products/943-223-682265-product-2.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-682265-product-2.webp",,,,,Size,Standard Size,Color,White,,
,,,,,,,,,,,,,Standard Size / Multicolor,PV_MZ1177200078CYCS_standard-size_standard,1499.0,,100,TRUE,https://content.public.markaz.app/markazimagevideo/public/products/1177-223-688226-product-1.webp,,,,,Size,Standard Size,Color,Multicolor,,
,,,,,,,,,,,,,Standard / Blue,PV_MZ94300001282PMGTIM_standard_blue,1559.0,,100,TRUE,"https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-686561-product-1-withcode.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-686561-product-5.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-686561-product-7.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-686561-product-8.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-686561-product-6.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-686561-product-1.webp,https://content.public.markaz.app/markazimagevideo/public/products/943-223-686561-product-1.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-686561-product-3.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/943-223-686561-product-4.webp",,,,,Color,Blue,Size,Standard,,
,,,,,,,,,,,,,Standard / White,PV_MZ1172200667SE_standard_white,2060.0,,100,TRUE,"https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1172-223-682263-product-2.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1172-223-682263-product-3.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1172-223-682263-product-6.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1172-223-682263-product-4.webp,https://content.public.markaz.app/markazimagevideo/public/products/1172-223-682263-product-2.webp,https://content.public.markaz.app/markazimagevideo/public/thumbnails/products/1172-223-682263-product-5.webp",,,,,Color,White,Size,Standard,,
